"","Media","Moda","Mediana","Máximo","Mínimo","Desviación.Estándar","Varianza"
"Lanzamiento (año)",2015,2017,2015,2020,2009,2.85356919363403,8.14285714285714
"Capacidad de mercado (%)",6.14285714285714,1,1,44,1,11.7791023744279,138.747252747253
"Cantidad máxima $M",128141.428571429,1e+05,64500,1e+06,1000,257267.752825643,66186696643.956
"Cantidad en circulación (>M)",7395.625,17,83.5,40000,17,14576.2882492423,212468179.125
"Transacciones por sg",805.375,1000,530,2800,7,993.417900482974,986879.125
"Tiempo para un bloque (sg)",173.2,307.5,15,600,0.1,268.058986045982,71855.62
"Precio $USD",3559.5530137,NA,26.37255,34158.7,0.193787,10754.7487934096,115664621.609346
"Volumen $M (24h)",26005.553,NA,5930,111150,665.53,39786.2195040539,1582943262.42476
"Volumen total (%)",8.783,NA,2,37.54,0.22,13.4378214586873,180.575045555556
"Variación 24h (%)",7.276,NA,7.54,17.52,-3.99,6.23312869539314,38.8518933333333
"Variación 7d (%)",20.873,NA,19.31,82.44,-20.59,26.0318655369402,677.658023333333
